ticket_id|alarm|started_ts|ended_ts|solved_by|src_system|site_visit|priority
T_0000040|50035582|2018-03-13 05:00:54|13-03-2018 05.55.53|team28|OP2|0|1
T_0000041|50012884|2018-08-21 10:12:43|21/08/2018 10:54:44|team56|OP1|0|2
T_0000042|50029928|2018-10-07 21:10:05|07/10/2018 21:55:56|team68|OP1|0|3
T_0000043|50049683|2018-09-23 07:17:12|23-09-2018 08.13.59|team78|OP2|0|2
T_0000044|50024026|2018-09-28 01:58:05|28-09-2018 02.56.33|team90|OP2|0|3
T_0000045|50023987|2018-09-21 10:48:47|21-09-2018 11.29.12|team34|OP2|0|2
T_0000046|50022342|2018-09-13 08:35:48|13-09-2018 09.28.40|team34|OP2|1|3
T_0000047|50016301|2018-12-16 15:32:18|16/12/2018 16:21:13|team30|OP1|0|3
T_0000048|50042349|2018-07-21 04:45:15|21-07-2018 05.18.58|team34|OP2|0|1
T_0000049|50028391|2018-09-15 03:52:11||team28|OP2|0|1
T_0000050|50022357|2018-03-10 09:33:15|10/03/2018 10:18:29|team78|OP1|0|3
T_0000051|50010428|2018-09-29 06:44:03|29/09/2018 07:32:54|team30|OP1|0|1
T_0000052|50040510|2018-10-18 11:22:34|18/10/2018 12:12:34|team90|OP1|0|3
T_0000053|50034753|2018-03-26 19:41:10|26-03-2018 20.14.51|team56|OP2|0|3
T_0000054|50001607|2018-09-03 06:28:49|03-09-2018 07.14.33|team48|OP2|0|3
T_0000055|50049449|2018-11-28 07:46:27|28/11/2018 08:16:47|team28|OP1|1|3
T_0000056|50001907|2018-06-15 01:31:39|15/06/2018 02:15:38|team30|OP1|1|3
T_0000057|50026731|2018-03-06 11:37:31|06/03/2018 12:18:10|team33|OP1|1|3
T_0000058|50034924|2018-06-28 14:38:46|28-06-2018 15.24.18|team28|OP2|0|2
T_0000059|50036954|2018-11-06 20:17:44|06-11-2018 21.00.38|team30|OP2|0|3
T_0000060|50043562|2018-12-30 20:08:29|30/12/2018 20:51:16|team90|OP1|0|1
T_0000061|50002899|2018-09-26 19:32:46|26-09-2018 20.29.35|team28|OP2|1|3
T_0000062|50046516|2018-04-12 21:23:58||team48|OP2|0|2
T_0000063|50019490|2018-08-10 00:10:55||team48|OP1|0|2
T_0000064|50016937|2018-04-21 17:06:37|21-04-2018 17.47.44|team68|OP2|0|3
T_0000065|50044367|2018-04-09 02:31:58|09/04/2018 03:15:56|team56|OP1|0|2
T_0000066|50046158|2018-09-17 02:58:21|17/09/2018 03:46:53|team90|OP1|0|1
T_0000067|50024073|2018-08-03 01:22:09|03-08-2018 02.04.15|team78|OP2|0|2
T_0000068|50012317|2018-04-17 23:10:23|17/04/2018 23:49:15|team34|OP1|0|3
T_0000069|50029794|2018-07-03 10:31:29|03-07-2018 11.22.30|team56|OP2|0|3
T_0000070|50045786|2018-10-24 14:45:46|24-10-2018 15.24.40|team90|OP2|0|2
T_0000071|50039878|2018-10-31 11:22:33|31-10-2018 12.03.30|team90|OP2|0|3
T_0000072|50012432|2018-07-29 00:55:18|29/07/2018 01:33:45|team90|OP1|0|2
T_0000073|50016481|2018-05-19 22:59:13|19-05-2018 23.57.57|team56|OP2|1|3
T_0000074|50011173|2018-07-22 16:56:41|22/07/2018 17:28:11|team68|OP1|0|3
T_0000075|50004643|2018-07-19 18:22:58|19/07/2018 19:10:33|team28|OP1|0|3
T_0000076|50009876|2018-11-16 07:54:42|16-11-2018 08.24.45|team48|OP2|0|3
T_0000077|50016288|2018-12-06 13:50:04|06-12-2018 14.41.45|team33|OP2|0|3
T_0000078|50036937|2018-06-21 05:02:31|21-06-2018 05.51.56|team33|OP2|0|1
T_0000079|50004972|2018-09-04 06:01:10|04-09-2018 06.58.55|team68|OP2|0|2
T_0000080|50007510|2018-09-04 01:37:27|04/09/2018 02:30:26|team56|OP1|0|1
T_0000081|50032495|2018-09-18 01:21:55|18/09/2018 02:17:30|team90|OP1|1|3
T_0000082|50000048|2018-02-16 16:58:14|16-02-2018 17.52.27|team34|OP2|1|3
T_0000083|50034616|2018-08-23 06:42:41|23/08/2018 07:26:25|team33|OP1|1|3
T_0000084|50048941|2018-05-23 21:20:22|23/05/2018 22:05:46|team68|OP1|0|1
T_0000085|50029721|2018-06-19 23:51:57|20/06/2018 00:43:21|team30|OP1|0|3
T_0000086|50037725|2018-02-04 22:50:56|04-02-2018 23.26.09|team56|OP2|0|1
T_0000087|50005006|2018-09-06 23:28:37|06-09-2018 23.59.11|team56|OP2|1|3
T_0000088|50008347|2018-11-10 12:25:50|10/11/2018 12:57:30|team30|OP1|0|2
T_0000089|50013658|2018-09-07 00:46:14|07-09-2018 01.36.59|team78|OP2|0|2
T_0000090|50033971|2018-07-17 03:26:06|17-07-2018 04.23.13|team90|OP2|0|1
T_0000091|50045491|2018-01-22 03:12:31|22-01-2018 03.48.31|team56|OP2|0|3
T_0000092|50029793|2018-03-24 21:17:03|24/03/2018 22:12:28|team56|OP1|0|3
T_0000093|50028455|2018-12-11 06:20:35|11/12/2018 07:17:21|team90|OP1|0|3
T_0000094|50030982|2018-01-25 21:03:55||team30|OP1|0|2
T_0000095|50005316|2018-06-02 19:37:19|02/06/2018 20:15:35|team90|OP1|0|2
T_0000096|50014080|2018-12-18 11:49:36|18/12/2018 12:48:51|team48|OP1|0|2
T_0000097|50049774|2018-01-10 22:33:04|10-01-2018 23.27.54|team28|OP2|0|3
T_0000098|50037309|2018-09-01 15:56:06|01-09-2018 16.50.00|team30|OP2|0|2
T_0000099|50004874|2018-07-11 06:10:26|11/07/2018 07:01:40|team28|OP1|0|2
T_0000100|50032836|2018-03-11 13:57:18|11/03/2018 14:50:53|team56|OP1|0|3
T_0000101|50029961|2018-05-02 15:59:20|02/05/2018 16:55:43|team90|OP1|1|3
T_0000102|50023350|2018-10-29 19:33:37||team90|OP1|1|3
T_0000103|50015842|2018-11-29 04:58:44|29/11/2018 05:42:35|team78|OP1|1|3
T_0000104|50046230|2018-06-15 02:10:39|15-06-2018 02.44.01|team48|OP2|1|3
T_0000105|50001409|2018-04-02 18:41:59|02-04-2018 19.28.14|team48|OP2|0|1
T_0000106|50044709|2018-01-18 21:55:49|18/01/2018 22:50:56|team34|OP1|0|1
T_0000107|50013819|2018-03-13 15:05:22|13-03-2018 16.04.03|team48|OP2|0|3
T_0000108|50005711|2018-12-27 03:18:33|27-12-2018 04.03.01|team56|OP2|1|3
T_0000109|50002001|2018-04-30 17:38:08|30-04-2018 18.21.25|team30|OP2|1|3
T_0000110|50013394|2018-05-14 14:37:50|14-05-2018 15.35.26|team30|OP2|0|3
T_0000111|50001787|2018-11-19 04:20:26|19-11-2018 05.16.36|team68|OP2|1|3
T_0000112|50016533|2018-02-04 23:58:55|05/02/2018 00:36:34|team33|OP1|0|3
T_0000113|50007079|2018-08-08 15:35:37|08/08/2018 16:08:29|team33|OP1|0|2
T_0000114|50044961|2018-09-24 11:41:48|24-09-2018 12.33.54|team30|OP2|0|1
T_0000115|50036872|2018-06-22 23:03:58|22/06/2018 23:34:43|team90|OP1|0|3
T_0000116|50031911|2018-09-01 13:31:06|01/09/2018 14:08:57|team68|OP1|1|3
T_0000117|50004257|2018-10-10 00:21:03|10/10/2018 01:08:20|team28|OP1|0|3
T_0000118|50029715|2018-05-10 11:28:01|10-05-2018 12.11.17|team56|OP2|0|2
T_0000119|50021642|2018-10-08 08:54:29|08-10-2018 09.32.57|team56|OP2|0|2
T_0000120|50035615|2018-12-12 21:43:20|12-12-2018 22.42.19|team33|OP2|0|2
T_0000121|50020890|2018-07-09 17:45:48||team30|OP1|0|2
T_0000122|50025221|2018-08-24 08:11:39|24-08-2018 09.06.36|team78|OP2|0|2
T_0000123|50000570|2018-03-31 12:15:15|31/03/2018 12:47:53|team34|OP1|0|2
T_0000124|50008978|2018-09-20 07:32:56|20/09/2018 08:14:57|team56|OP1|0|2
T_0000125|50024402|2018-12-16 21:31:35||team90|OP1|0|2
T_0000126|50000508|2018-08-06 06:26:09|06-08-2018 07.19.33|team34|OP2|0|2
T_0000127|50039257|2018-07-16 10:39:45||team48|OP1|1|3
T_0000128|50045572|2018-02-15 07:59:37|15-02-2018 08.33.56|team90|OP2|0|2
T_0000129|50021537|2018-02-26 18:25:58|26/02/2018 19:18:16|team30|OP1|0|1
T_0000130|50049514|2018-03-17 06:58:08|17-03-2018 07.41.25|team90|OP2|0|3
T_0000131|50032248|2018-11-28 14:26:38|28/11/2018 15:06:03|team34|OP1|1|3
T_0000132|50035561|2018-01-31 04:11:45|31/01/2018 04:54:11|team90|OP1|0|2
T_0000133|50015287|2018-10-07 00:08:17|07/10/2018 00:38:34|team48|OP1|0|2
T_0000134|50039934|2018-03-06 15:29:42|06/03/2018 16:24:56|team28|OP1|0|3
T_0000135|50035026|2018-07-31 08:43:14|31/07/2018 09:38:57|team56|OP1|1|3
T_0000136|50012289|2018-05-02 08:42:16|02/05/2018 09:34:56|team68|OP1|0|1
T_0000137|50045901|2018-01-10 07:39:13|10/01/2018 08:27:47|team90|OP1|1|3
T_0000138|50014703|2018-11-26 15:23:28||team90|OP1|0|1
T_0000139|50028030|2018-07-01 16:10:35|01/07/2018 16:46:55|team28|OP1|0|3
T_0000140|50007630|2018-04-26 11:12:02|26/04/2018 12:03:51|team28|OP1|0|1
T_0000141|50011717|2018-01-30 00:44:47|30/01/2018 01:29:03|team34|OP1|0|3
T_0000142|50036281|2018-02-01 07:24:48|01-02-2018 08.24.17|team28|OP2|0|2
T_0000143|50018029|2018-07-17 00:00:04|17-07-2018 00.55.41|team34|OP2|0|2
T_0000144|50015195|2018-02-06 11:49:53||team30|OP1|0|1
T_0000145|50033264|2018-07-28 19:52:33|28/07/2018 20:41:55|team78|OP1|0|2
T_0000146|50020439|2018-12-15 21:01:24|15-12-2018 21.31.40|team90|OP2|0|2
T_0000147|50049153|2018-01-08 02:21:33|08/01/2018 03:12:49|team34|OP1|0|3
T_0000148|50029418|2018-02-11 16:02:29|11/02/2018 16:33:49|team34|OP1|0|3
T_0000149|50004722|2018-11-26 12:43:45||team28|OP2|0|2
T_0000150|50036695|2018-04-28 21:38:00|28/04/2018 22:14:37|team68|OP1|0|2
T_0000151|50033306|2018-11-28 01:18:00|28/11/2018 02:02:42|team90|OP1|0|2
T_0000152|50033458|2018-07-25 12:27:55|25/07/2018 13:16:01|team33|OP1|0|2
T_0000153|50033995|2018-07-11 17:55:59|11-07-2018 18.32.17|team34|OP2|1|3
T_0000154|50020698|2018-03-12 12:26:53|12/03/2018 13:12:31|team34|OP1|0|2
T_0000155|50030503|2018-05-10 12:59:33|10-05-2018 13.53.59|team30|OP2|0|3
T_0000156|50001203|2018-05-08 04:34:19|08-05-2018 05.31.12|team48|OP2|0|3
T_0000157|50008150|2018-12-02 17:32:11|02/12/2018 18:24:55|team78|OP1|1|3
T_0000158|50036885|2018-05-03 08:14:16|03-05-2018 09.08.08|team90|OP2|1|3
T_0000159|50024505|2018-12-19 04:43:15|19/12/2018 05:16:51|team90|OP1|0|2
T_0000160|50040163|2018-05-12 15:28:34|12-05-2018 16.21.59|team28|OP2|0|2
T_0000161|50002105|2018-05-24 18:56:51||team28|OP2|0|2
T_0000162|50010410|2018-04-12 12:51:53||team68|OP1|0|2
T_0000163|50003122|2018-08-13 12:35:40|13-08-2018 13.29.48|team30|OP2|0|3
T_0000164|50021967|2018-05-10 01:02:03|10-05-2018 01.36.43|team90|OP2|0|2
T_0000165|50041126|2018-09-25 15:32:57|25-09-2018 16.17.50|team30|OP2|0|3
T_0000166|50013428|2018-08-16 12:06:01||team34|OP1|1|3
T_0000167|50021268|2018-05-23 13:49:22|23/05/2018 14:48:23|team30|OP1|0|3
T_0000168|50026282|2018-11-13 09:12:44|13-11-2018 10.07.09|team78|OP2|0|3
T_0000169|50023750|2018-09-25 10:32:23||team78|OP2|0|3
T_0000170|50049826|2018-01-20 11:41:45|20-01-2018 12.21.19|team33|OP2|1|3
T_0000171|50005033|2018-08-20 00:24:06|20/08/2018 01:02:00|team28|OP1|1|3
T_0000172|50018103|2018-06-21 13:39:16|21/06/2018 14:38:37|team30|OP1|0|3
T_0000173|50017198|2018-07-28 03:12:53|28-07-2018 03.57.58|team90|OP2|0|3
T_0000174|50042454|2018-05-27 21:08:12|27/05/2018 22:00:01|team56|OP1|0|1
T_0000175|50004945|2018-10-19 20:14:58|19/10/2018 20:53:15|team48|OP1|0|2
T_0000176|50003014|2018-02-16 05:47:31|16-02-2018 06.37.32|team28|OP2|0|3
T_0000177|50005649|2018-10-16 17:28:33|16-10-2018 18.02.41|team56|OP2|1|3
T_0000178|50031106|2018-04-18 04:10:05|18-04-2018 04.50.44|team90|OP2|1|3
T_0000179|50008994|2018-06-22 15:52:01||team90|OP1|1|3
T_0000180|50003258|2018-12-13 11:12:07|13/12/2018 11:55:10|team68|OP1|0|2
T_0000181|50037983|2018-12-07 11:14:57|07-12-2018 12.11.02|team56|OP2|0|3
T_0000182|50028202|2018-05-27 04:12:53|27/05/2018 05:09:01|team90|OP1|0|2
T_0000183|50030570|2018-09-23 10:16:39|23/09/2018 11:02:18|team34|OP1|0|3
T_0000184|50025111|2018-10-02 07:26:53|02/10/2018 08:07:47|team28|OP1|0|2
T_0000185|50013692|2018-04-08 01:07:16|08/04/2018 01:54:10|team48|OP1|1|3
T_0000186|50030432|2018-05-25 19:46:48|25-05-2018 20.22.23|team33|OP2|0|2
T_0000187|50048635|2018-10-31 08:09:17|31/10/2018 08:57:33|team90|OP1|0|2
T_0000188|50034626|2018-08-27 02:13:06|27/08/2018 03:05:04|team28|OP1|1|3
T_0000189|50019945|2018-07-11 17:02:35|11-07-2018 17.59.14|team48|OP2|0|2
T_0000190|50004267|2018-05-13 20:23:17||team90|OP1|0|3
T_0000191|50010845|2018-06-18 02:52:58|18-06-2018 03.34.44|team33|OP2|0|2
T_0000192|50017391|2018-05-07 20:20:53|07-05-2018 21.12.54|team33|OP2|0|3
T_0000193|50020451|2018-05-07 04:39:52|07/05/2018 05:18:43|team30|OP1|0|2
T_0000194|50000641|2018-08-04 23:54:03|05-08-2018 00.46.07|team68|OP2|0|3
T_0000195|50019863|2018-01-21 18:21:35|21/01/2018 19:20:06|team33|OP1|0|3
T_0000196|50008580|2018-01-14 13:53:10|14-01-2018 14.51.57|team56|OP2|0|2
T_0000197|50048973|2018-04-09 08:41:39||team30|OP2|0|3
T_0000198|50048644|2018-10-06 13:15:30|06/10/2018 13:58:03|team33|OP1|0|3
T_0000199|50018320|2018-07-17 07:25:55|17-07-2018 08.25.34|team56|OP2|0|2
T_0000200|50016871|2018-11-04 09:16:38|04/11/2018 09:59:45|team90|OP1|0|2
T_0000201|50021991|2018-11-14 22:28:38||team56|OP1|0|2
T_0000202|50016094|2018-03-07 12:08:03|07/03/2018 13:07:33|team28|OP1|0|2
T_0000203|50029882|2018-06-14 23:48:02|15-06-2018 00.29.51|team34|OP2|0|2
T_0000204|50010385|2018-05-01 15:52:46|01-05-2018 16.51.40|team34|OP2|0|1
T_0000205|50015446|2018-12-11 20:02:58|11-12-2018 20.59.17|team30|OP2|0|1
T_0000206|50012598|2018-06-12 22:30:36|12/06/2018 23:25:37|team28|OP1|0|2
T_0000207|50018771|2018-02-26 22:48:10|26-02-2018 23.42.39|team28|OP2|0|3
T_0000208|50041581|2018-04-15 03:50:49|15-04-2018 04.35.00|team28|OP2|0|3
T_0000209|50007844|2018-06-15 23:36:49|16-06-2018 00.22.50|team68|OP2|0|2
T_0000210|50010639|2018-06-13 14:37:20|13/06/2018 15:10:21|team90|OP1|0|3
T_0000211|50001780|2018-06-10 21:51:53|10-06-2018 22.25.43|team78|OP2|0|2
T_0000212|50013841|2018-01-02 10:50:38|02/01/2018 11:25:17|team78|OP1|0|2
T_0000213|50024416|2018-06-24 20:56:25|24/06/2018 21:51:33|team56|OP1|0|2
T_0000214|50019424|2018-03-19 15:24:01|19-03-2018 16.16.45|team56|OP2|1|3
T_0000215|50041573|2018-01-30 23:21:27|31/01/2018 00:16:03|team30|OP1|0|2
T_0000216|50025149|2018-04-16 03:03:32|16/04/2018 03:39:54|team68|OP1|0|3
T_0000217|50035846|2018-06-01 04:00:47|01-06-2018 04.48.15|team28|OP2|0|2
T_0000218|50038022|2018-04-27 23:30:19|28-04-2018 00.17.26|team56|OP2|1|3
T_0000219|50038434|2018-02-24 09:20:26|24/02/2018 09:58:55|team30|OP1|0|2
T_0000220|50005441|2018-07-04 10:31:58|04/07/2018 11:14:05|team30|OP1|0|1
T_0000221|50020905|2018-07-23 03:35:00|23-07-2018 04.15.21|team34|OP2|0|3
T_0000222|50008107|2018-01-31 18:57:25|31/01/2018 19:40:24|team28|OP1|0|2
T_0000223|50033646|2018-12-02 20:54:23|02-12-2018 21.41.41|team68|OP2|0|3
T_0000224|50022662|2018-09-26 11:00:06|26/09/2018 11:47:37|team33|OP1|0|2
T_0000225|50023239|2018-06-06 17:53:45|06-06-2018 18.48.39|team28|OP2|1|3
T_0000226|50017579|2018-04-14 14:10:44|14-04-2018 15.09.45|team78|OP2|1|3
T_0000227|50041230|2018-05-19 06:48:34|19-05-2018 07.39.52|team68|OP2|0|1
T_0000228|50000843|2018-03-20 09:02:38|20-03-2018 09.39.22|team90|OP2|1|3
T_0000229|50024292|2018-12-31 21:40:07|31-12-2018 22.13.51|team33|OP2|0|2
T_0000230|50038451|2018-04-18 21:24:11|18-04-2018 22.20.43|team28|OP2|0|2
T_0000231|50002135|2018-06-05 02:56:04|05-06-2018 03.45.17|team68|OP2|0|3
T_0000232|50035327|2018-10-15 20:51:03|15/10/2018 21:27:03|team33|OP1|1|3
T_0000233|50032648|2018-09-23 13:29:05|23-09-2018 14.18.16|team78|OP2|0|3
T_0000234|50044151|2018-11-01 14:08:54|01/11/2018 14:52:46|team90|OP1|0|3
T_0000235|50047564|2018-07-02 05:05:30|02/07/2018 05:39:41|team28|OP1|0|1
T_0000236|50029893|2018-11-23 21:00:20|23-11-2018 21.31.52|team68|OP2|0|2
T_0000237|50034261|2018-04-06 22:15:53|06-04-2018 23.10.26|team28|OP2|1|3
T_0000238|50046459|2018-04-21 02:54:26|21/04/2018 03:39:17|team48|OP1|0|1
T_0000239|50005819|2018-02-17 23:40:20|18/02/2018 00:22:06|team78|OP1|0|2
T_0000240|50039535|2018-04-12 19:10:39||team48|OP2|0|1
T_0000241|50020559|2018-12-21 22:56:25|21-12-2018 23.44.12|team30|OP2|0|3
T_0000242|50019510|2018-07-02 09:56:36|02-07-2018 10.35.08|team30|OP2|0|2
T_0000243|50034375|2018-10-30 07:49:04|30/10/2018 08:32:34|team68|OP1|0|2
T_0000244|50049170|2018-07-29 10:04:40|29/07/2018 10:45:29|team30|OP1|0|2
T_0000245|50005915|2018-07-23 02:36:14|23/07/2018 03:27:47|team90|OP1|0|2
T_0000246|50027837|2018-05-19 10:41:24|19-05-2018 11.40.13|team48|OP2|0|3
T_0000247|50049733|2018-04-24 20:33:51|24/04/2018 21:16:39|team28|OP1|0|3
T_0000248|50022085|2018-06-07 17:21:55|07-06-2018 18.07.10|team28|OP2|1|3
T_0000249|50033420|2018-01-11 03:49:08|11-01-2018 04.25.12|team33|OP2|0|3
T_0000250|50005806|2018-01-26 15:28:38|26-01-2018 16.05.30|team68|OP2|0|2
T_0000251|50019732|2018-06-03 11:56:16|03/06/2018 12:45:32|team56|OP1|1|3
T_0000252|50022313|2018-03-06 01:56:12||team56|OP1|0|1
T_0000253|50015895|2018-12-03 08:31:42|03/12/2018 09:24:09|team78|OP1|1|3
T_0000254|50029516|2018-01-11 23:32:09||team33|OP1|1|3
T_0000255|50016841|2018-04-10 05:16:28|10-04-2018 06.10.19|team56|OP2|0|2
T_0000256|50033065|2018-12-16 05:14:34|16-12-2018 06.08.09|team90|OP2|1|3
T_0000257|50025542|2018-02-09 01:36:56|09-02-2018 02.14.03|team48|OP2|0|2
T_0000258|50018959|2018-10-27 15:59:12|27/10/2018 16:49:29|team56|OP1|0|2
T_0000259|50028175|2018-08-20 07:26:11|20/08/2018 08:02:31|team48|OP1|0|3
T_0000260|50032034|2018-05-09 23:46:43|10/05/2018 00:43:34|team28|OP1|0|2
T_0000261|50013973|2018-06-27 19:17:28|27-06-2018 20.15.20|team30|OP2|0|2
T_0000262|50035371|2018-05-21 06:47:44|21-05-2018 07.31.24|team56|OP2|0|3
T_0000263|50002139|2018-06-01 20:05:50||team28|OP2|0|1
T_0000264|50021954|2018-04-20 10:35:32||team90|OP1|0|3
T_0000265|50025654|2018-05-15 10:20:00|15-05-2018 11.02.43|team34|OP2|1|3
T_0000266|50044708|2018-02-05 20:56:11|05/02/2018 21:29:23|team68|OP1|0|2
T_0000267|50049988|2018-12-15 13:10:23||team90|OP2|0|2
T_0000268|50048765|2018-01-20 22:37:55||team34|OP1|0|2
T_0000269|50033015|2018-09-17 14:22:44|17-09-2018 15.04.56|team34|OP2|0|3
T_0000270|50007859|2018-10-16 17:55:32|16/10/2018 18:42:13|team78|OP1|0|1
T_0000271|50017706|2018-04-21 12:17:21|21/04/2018 13:14:12|team34|OP1|0|1
T_0000272|50013245|2018-08-24 19:30:57|24/08/2018 20:25:30|team56|OP1|1|3
T_0000273|50016585|2018-12-03 10:21:50|03-12-2018 11.04.15|team78|OP2|0|3
T_0000274|50005842|2018-12-18 20:20:01|18-12-2018 20.57.45|team33|OP2|0|3
T_0000275|50019400|2018-06-25 06:54:31|25/06/2018 07:41:00|team33|OP1|0|3
T_0000276|50001497|2018-02-18 14:43:21||team28|OP1|1|3
T_0000277|50017225|2018-07-09 15:28:33||team28|OP1|0|2
T_0000278|50003956|2018-03-06 18:25:01|06-03-2018 19.11.17|team90|OP2|0|2
T_0000279|50018877|2018-07-19 17:01:33|19-07-2018 17.37.47|team28|OP2|0|1
T_0000280|50028398|2018-10-08 20:18:52|08/10/2018 21:12:05|team48|OP1|0|2
T_0000281|50015659|2018-03-10 20:42:45|10/03/2018 21:20:44|team34|OP1|0|2
T_0000282|50043154|2018-10-16 22:16:18|16-10-2018 22.57.20|team28|OP2|1|3
T_0000283|50021708|2018-11-23 19:31:07|23/11/2018 20:03:58|team68|OP1|1|3
T_0000284|50008907|2018-03-11 18:52:38|11-03-2018 19.28.50|team68|OP2|0|3
T_0000285|50005935|2018-08-24 22:54:26|24-08-2018 23.41.44|team90|OP2|0|3
T_0000286|50004341|2018-08-01 18:01:48|01/08/2018 18:36:40|team48|OP1|0|2
T_0000287|50008831|2018-09-26 19:08:40|26-09-2018 19.41.19|team90|OP2|0|3
T_0000288|50040454|2018-04-30 00:38:08|30-04-2018 01.21.28|team34|OP2|0|3
T_0000289|50040819|2018-07-07 05:58:14|07-07-2018 06.46.25|team30|OP2|1|3
T_0000290|50005627|2018-04-24 23:22:26|25-04-2018 00.00.05|team78|OP2|0|2
T_0000291|50037490|2018-09-04 02:27:38|04/09/2018 03:23:39|team90|OP1|0|2
T_0000292|50019162|2018-08-21 21:38:36|21-08-2018 22.13.10|team78|OP2|1|3
T_0000293|50029397|2018-04-25 20:21:19|25-04-2018 21.18.22|team56|OP2|0|2
T_0000294|50017332|2018-04-29 08:35:14|29/04/2018 09:34:23|team30|OP1|1|3
T_0000295|50006125|2018-09-29 04:15:57|29/09/2018 04:59:42|team33|OP1|1|3
T_0000296|50017606|2018-10-15 17:26:23||team34|OP1|1|3
T_0000297|50046361|2018-05-17 21:14:02|17-05-2018 21.57.48|team56|OP2|0|3
T_0000298|50030051|2018-02-25 13:00:01|25/02/2018 13:37:14|team30|OP1|0|1
T_0000299|50005688|2018-08-13 22:26:35|13-08-2018 23.08.40|team56|OP2|0|2
T_0000300|50035712|2018-03-06 07:46:56|06-03-2018 08.27.12|team34|OP2|0|1
T_0000301|50003369|2018-08-04 16:43:21|04-08-2018 17.27.56|team56|OP2|0|2
T_0000302|50000920|2018-08-28 08:24:46|28/08/2018 09:03:00|team56|OP1|0|1
T_0000303|50046682|2018-06-11 00:14:22|11-06-2018 01.04.45|team78|OP2|0|2
T_0000304|50014907|2018-01-05 01:00:00|05-01-2018 01.36.30|team90|OP2|0|3
T_0000305|50042532|2018-12-13 21:17:29|13/12/2018 22:03:23|team48|OP1|0|2
